POS,QTY,PART NAME,PART MANUFACTURER,PART CODE,SPECIFICATIONS,DESIGNATORS,
1,1,Hard Case,Tectake,402870,Type 2,n/a,
2,1,Rectangular Capillary,CM Scientific,3530-050,0.30 x 3.00mm ID,n/a,
3,4,Standoff M2.5 x 0.45 - 6mm (FM2101-2545-SS),Fascomp,FM2101-2545-SS,Standoff M2.5 x 0.45 - 6mm (FM2101-2545-SS),A1,
4,4,Standoff M2.5 x 0.45 - 15mm (FM2110-2545-SS) (FM2110-2545-SS),Fascomp,FM2110-2545-SS,Standoff M2.5 x 0.45 - 15mm (FM2110-2545-SS) (FM2110-2545-SS),A2,
5,4,Standoff M2.5 x 0.45 - 16mm (FM2111-2545-SS) (FM2111-2545-SS),Fascomp,FM2111-2545-SS,Standoff M2.5 x 0.45 - 16mm (FM2111-2545-SS) (FM2111-2545-SS),A3,
6,8,M2.5X5 INOX A2 CHC DIN 912,BafaSa,CHI2.505,M2.5X5 INOX A2 CHC DIN 912,A4,
7,7,M2.5X10 INOX A2 CHC DIN 912,BafaSa,CHI2.510,M2.5X10 INOX A2 CHC DIN 912,A5,
8,32,M3X12 INOX A2 BHC BASE ISO 7380-2,BafaSa,BHCEI03012,M3X12 INOX A2 BHC BASE ISO 7380-2,A6,
9,4,Silicone adhesive pads,,,Silicone adhesive pads,A7,
10,2,"Barbed to Female Luer Adapter 1/16""",Darwin Microfluidics,CIL-P-857,"Barbed to Female Luer Adapter 1/16""",D1,
11,1,"Barbed to Male Luer Adapter 1/16""",Darwin Microfluidics,CIL-P-850,"Barbed to Male Luer Adapter 1/16""",D3,
12,1,Tube n°3,PontonZ,,Tube n°3,D4,
13,1,Tube n°4,PontonZ,,Tube n°4,D5,
14,1,Mini Bubbling USB,,,Mini Bubbling USB,E1,
15,1,Peristalic pump,Kamoer,KAS B12 SF,ID 1.5 OD 3.5,F1,
16,3,FlowCell,n/a,n/a,300um,F4,
17,2,Reinforced Linear Stepper Motor,Motor Kindom Store,SUS303,Reinforced Linear Stepper Motor,G1,
18,1,Heat Sink Kit for Raspberry Pi 4B (110991327),Seeed Studio,110991327,Heat Sink Kit for Raspberry Pi 4B (110991327),H1,
19,1,Custom HAT,planktoscope,Custom HAT,Custom HAT,I1,
20,1,"M12 LENS 25MM 5MP 1/2""",Fulekan,Lens_25MM_5MP_1/2,"M12 LENS 25MM 5MP 1/2""",J1,https://de.aliexpress.com/item/32463065187.html?spm=a2g0o.cart.0.0.45304ae4aVqKCM&mp=1&gatewayAdapt=glo2deu
21,2,M12 Lens Locking Ring,Fulekan,,M12 Lens Locking Ring,J2,https://de.aliexpress.com/item/1005004089156032.html?spm=a2g0o.cart.0.0.53c44ae4N5Frvn&mp=1&gatewayAdapt=glo2deu
22,1,"M12 LENS 16MM 5MP 1/2.5""",Fulekan,Lens_16MM_5MP_1/2.5,"M12 LENS 16MM 5MP 1/2.5""",J3,https://de.aliexpress.com/item/32463510661.html?spm=a2g0o.cart.0.0.45304ae4aVqKCM&mp=1&gatewayAdapt=glo2deu
23,1,LED - Adafruit (754),Adafruit Industries,754,LED - Adafruit (754),J4,
24,1,Sd Card 128Gb (SDSQXA1-128G-GN6MA),SanDisk,SDSQXA1-128G-GN6MA,Sd Card 128Gb (SDSQXA1-128G-GN6MA),K1,
25,1,LED to HAT wires,planktoscope,,LED to HAT wires,K2,
26,1,DC Power Jack Shield Front Pnl Mnt 2.1mm (721AFMS),Switchcraft,721AFMS,DC Power Jack Shield Front Pnl Mnt 2.1mm (721AFMS),K3,
27,2,Falcon tube 50ml,BITEFU,bitefu006,Falcon tube 50ml,M1,
28,1,BD Biocoat Luer-Lock Disposable Syringes - 20 mL,Darwin Microfluidics,CO-07944-16,BD Biocoat Luer-Lock Disposable Syringes - 20 mL,M2,
29,1,Structure V2.5,PontonZ,,Structure V2.5,S,
30,1,RASPBERRY PI 4 MODEL B (RPI4-MODBP-4GB),Raspberry Pi,RPI4-MODBP-4GB,RASPBERRY PI 4 MODEL B (RPI4-MODBP-4GB),X1,
31,1,Raspberry Pi HQ Camera (SC0261),Raspberry Pi,SC0261,Raspberry Pi HQ Camera (SC0261),X4,
32,1,AC ADAPTOR 12V 4A 2.1MM (SW3126B),Stontronics,SW3126B,AC ADAPTOR 12V 4A 2.1MM (SW3126B),X5,
33,32,Square Nuts M3X5.5X1.8 INOX A2 DIN 562,BafaSa,562I3,Square Nuts M3X5.5X1.8 INOX A2 DIN 562,XXX,
34,30,Neodyme Circular Magnet 5mm x5mm,First4magnets,F641-25,Neodyme Circular Magnet 5mm x5mm,XXX1,
